"id","title","trim_id","retail_price","p11d_price"
"R415ST-2025-GPG4PG4-GRBARBA-GWD1WD1-GWN3WN3-GWW2WW2-GYOSYOS","R-Line 2.0 TSI 265PS 7-speed DSG 4Motion 5 Door","31150-r-line","50670","48965"
"R4154Z-2025-GPG4PG4-GPJKPJK-GRBARBA-GWD1WD1-GWN3WN3-GWW2WW2-GYOSYOS","R-Line 2.0 TDI 150PS 7-Speed DSG 5 Door","31150-r-line","44025","43700"
"R415ZY-2025-GPJKPJK-GRBARBA-GWD1WD1-GWN3WN3-GWW2WW2-GYOSYOS","R-Line 1.5 TSI eHybrid 204PS 6-Speed DSG 5 Door","31150-r-line","46880","46825"
"R415PT-2025-GPG4PG4-GPJKPJK-GRBARBA-GWD1WD1-GWN3WN3-GWW2WW2-GYOSYOS","R-Line 2.0 TSI 204PS 7-speed DSG 4Motion 5 Door","31150-r-line","48055","46905"
"R415YY-2025-GPJKPJK-GRBARBA-GWD1WD1-GWN3WN3-GWW2WW2-GYOSYOS","R-Line 1.5 TSI eHybrid 272PS 6-Speed DSG 5 Door","31150-r-line","49600","49545"
"R415BM-2025-GPG4PG4-GPJKPJK-GRBARBA-GWD1WD1-GWN3WN3-GWW2WW2-GYOSYOS","R-Line 1.5 eTSI 150PS 7-Speed DSG 5 Door","31150-r-line","42825","42510"
"R413BM-2025-GPG4PG4-GPJCPJC-GRBARBA-GWD1WD1-GWN3WN3-GYOSYOS","Life 1.5 eTSI 150PS 7-Speed DSG 5 Door","31150-life","39850","39535"
"R413ZY-2025-GPJCPJC-GRBARBA-GWD1WD1-GWN3WN3-GYOSYOS","Life 1.5 TSI eHybrid 204PS 6-Speed DSG 5 Door","31150-life","43905","43850"
"R4134Z-2025-GPG4PG4-GPJCPJC-GRBARBA-GWD1WD1-GWN3WN3-GYOSYOS","Life 2.0 TDI 150PS 7-Speed DSG 5 Door","31150-life","41050","40725"
"CS13BZ-2025-GPF2PF2-GPF3PF3-GPJAPJA-GWD1WD1-GWLAWLA-GYGDYGD-GYKMYKM-GYOSYOS-GZBPZBP","Life 1.0 TSI 115PS 7-speed DSG 5 Door","30260-life","26980","26705"
"CS13BX-2025-GPF2PF2-GPF3PF3-GPJAPJA-GWD1WD1-GWLAWLA-GYGDYGD-GYKMYKM-GYOSYOS-GZBPZBP","Life 1.0 TSI 115PS 6-speed Manual 5 Door","30260-life","25385","25110"
"CS13AV-2025-GPF2PF2-GPF3PF3-GPJAPJA-GWD1WD1-GWLAWLA-GYGDYGD-GYKMYKM-GYOSYOS-GZBPZBP","Life 1.0 TSI 95PS 5-speed Manual 5 Door","30260-life","24550","24275"
"CS15BZ-2025-GPDEPDE-GPDRPDR-GPF2PF2-GPF3PF3-GPSBPSB-GPXAPXA-GWD1WD1-GWLBWLB-GW65W65-GYGDYGD-GYKMYKM-GYOSYOS-GZBFZBF-MSIH4A3","Black Edition 1.0 TSI 115PS 7-speed DSG 5 Door","30260-black-edition","31365","31090"
"CS15BX-2025-GPDEPDE-GPDRPDR-GPF2PF2-GPF3PF3-GPSBPSB-GPXAPXA-GWD1WD1-GWLBWLB-GW65W65-GYGDYGD-GYKMYKM-GYOSYOS-GZBFZBF-MSIH4A3","Black Edition 1.0 TSI 115PS 6-speed Manual 5 Door","30260-black-edition","29770","29495"
"CS15PZ-2025-GPDEPDE-GPDRPDR-GPF2PF2-GPF3PF3-GPSBPSB-GPXAPXA-GWD1WD1-GWLBWLB-GW65W65-GYGDYGD-GYKMYKM-GYOSYOS-GZBFZBF-MSIH4A3","Black Edition 1.5 TSI 150PS 7-speed DSG 5 Door","30260-black-edition","32855","32530"
"CS14BZ-2025-GPF2PF2-GPF3PF3-GWD1WD1-GWLBWLB-GYGDYGD-GYKMYKM-GYOSYOS-GZBFZBF","Style 1.0 TSI 115PS 7-speed DSG 5 Door","30260-style","29920","29645"
"CS15PZ-2025-GPDEPDE-GPF2PF2-GPF3PF3-GWD1WD1-GWLAWLA-GYGDYGD-GYKMYKM-GYOSYOS-GZBFZBF","R-Line 1.5 TSI 150PS 7-speed DSG 5 Door","30260-r-line","32370","32045"
"CS15BZ-2025-GPDEPDE-GPF2PF2-GPF3PF3-GWD1WD1-GWLAWLA-GYGDYGD-GYKMYKM-GYOSYOS-GZBFZBF","R-Line 1.0 TSI 115PS 7-speed DSG 5 Door","30260-r-line","30875","30600"
"CS13AV-2025-MKSUKA1-GPF2PF2-GPF3PF3-GPJJPJJ-GWD1WD1-GWLAWLA-GW02W02-GYGDYGD-GYKMYKM-GYOSYOS-GZBPZBP-MTKV4F2-MSSH4KF","Match 1.0 TSI 95PS 5-speed Manual 5 Door","30260-match","24725","24450"
"CS13BX-2025-MKSUKA1-GPF2PF2-GPF3PF3-GPJJPJJ-GWD1WD1-GWLAWLA-GW02W02-GYGDYGD-GYKMYKM-GYOSYOS-GZBPZBP-MTKV4F2-MSSH4KF","Match 1.0 TSI 115PS 6-speed Manual 5 Door","30260-match","25560","25285"
"CS13BZ-2025-MKSUKA1-GPF2PF2-GPF3PF3-GPJJPJJ-GWD1WD1-GWLAWLA-GW02W02-GYGDYGD-GYKMYKM-GYOSYOS-GZBPZBP-MTKV4F2-MSSH4KF","Match 1.0 TSI 115PS 7-speed DSG 5 Door","30260-match","27155","26880"
"5T14CZ-2025-GPDAPDA-GPF6PF6-GPGAPGA-GPJBPJB-GPSNPSN-GRBDRBD-GWD3WD3-GYOSYOS-MAUD9WJ","SEL 1.5 TSI 150PS 7-speed DSG 5 Door","31005-sel","40805","40480"
"5T13CX-2025-MKSUKA1-GPE7PE7-GPF5PF5-GPGAPGA-GPI4PI4-GPSNPSN-GRBDRBD-GWD3WD3-GWLMWLM-GWWEWWE-GWYGWYG-GW21W21-GYOSYOS-MDAR3S1","Match 1.5 TSI 150PS 6-speed Man 5 Door","31005-match","39960","39635"
